id,state_name,district_name,block_name,samiti_name,mobile_number,President,Vice President,Secretary,Joint Secretary,Treasurer,Members
1,Madhya Pradesh,Agar Malwa,Agar,,,,,,,,
2,Madhya Pradesh,Agar Malwa,Barod,,,,,,,,
3,Madhya Pradesh,Agar Malwa,Nalkheda,,,,,,,,
4,Madhya Pradesh,Agar Malwa,Susner,,,,,,,,
5,Madhya Pradesh,Alirajpur,Alirajpur,,,,,,,,
6,Madhya Pradesh,Alirajpur,Bhabra,,,,,,,,
7,Madhya Pradesh,Alirajpur,Jobat,,,,,,,,
8,Madhya Pradesh,Alirajpur,Katthiwada,,,,,,,,
9,Madhya Pradesh,Alirajpur,Sondwa,,,,,,,,
10,Madhya Pradesh,Alirajpur,Udaigarh,,,,,,,,
11,Madhya Pradesh,Anuppur,Anuppur,,,,,,,,
12,Madhya Pradesh,Anuppur,Jaithari,,,,,,,,
13,Madhya Pradesh,Anuppur,Kotma,,,,,,,,
14,Madhya Pradesh,Anuppur,Pushprajgarh,,,,,,,,
15,Madhya Pradesh,Ashoknagar,Ashoknagar,,,,,,,,
16,Madhya Pradesh,Ashoknagar,Chanderi,,,,,,,,
17,Madhya Pradesh,Ashoknagar,Isagarh,,,,,,,,
18,Madhya Pradesh,Ashoknagar,Mungaoli,,,,,,,,
19,Madhya Pradesh,Balaghat,Baihar,,,,,,,,
20,Madhya Pradesh,Balaghat,Balaghat,,,,,,,,
21,Madhya Pradesh,Balaghat,Birsa,,,,,,,,
22,Madhya Pradesh,Balaghat,Katangi,,,,,,,,
23,Madhya Pradesh,Balaghat,Khairlanji,,,,,,,,
24,Madhya Pradesh,Balaghat,Kirnapur,,,,,,,,
25,Madhya Pradesh,Balaghat,Lalbarra,,,,,,,,
26,Madhya Pradesh,Balaghat,Lanji,,,,,,,,
27,Madhya Pradesh,Balaghat,Paraswada,,,,,,,,
28,Madhya Pradesh,Balaghat,Waraseoni,,,,,,,,
29,Madhya Pradesh,Barwani,Barwani,,,,,,,,
30,Madhya Pradesh,Barwani,Newali,,,,,,,,
31,Madhya Pradesh,Barwani,Pansemal,,,,,,,,
32,Madhya Pradesh,Barwani,Pati,,,,,,,,
33,Madhya Pradesh,Barwani,Rajpur,,,,,,,,
34,Madhya Pradesh,Barwani,Sendhawa,,,,,,,,
35,Madhya Pradesh,Barwani,Thikri,,,,,,,,
36,Madhya Pradesh,Betul,Amla,,,,,,,,
37,Madhya Pradesh,Betul,Athner,,,,,,,,
38,Madhya Pradesh,Betul,Betul,,,,,,,,
39,Madhya Pradesh,Betul,Bhainsdehi,,,,,,,,
40,Madhya Pradesh,Betul,Bhimpur,,,,,,,,
41,Madhya Pradesh,Betul,Chicholi,,,,,,,,
42,Madhya Pradesh,Betul,Ghoradongri,,,,,,,,
43,Madhya Pradesh,Betul,Multai,,,,,,,,
44,Madhya Pradesh,Betul,Prabhat Pattan,,,,,,,,
45,Madhya Pradesh,Betul,Shahpur,,,,,,,,
46,Madhya Pradesh,Bhind,Ater,,,,,,,,
47,Madhya Pradesh,Bhind,Bhind,,,,,,,,
48,Madhya Pradesh,Bhind,Gohad,,,,,,,,
49,Madhya Pradesh,Bhind,Lahar,,,,,,,,
50,Madhya Pradesh,Bhind,Mehgaon,,,,,,,,
51,Madhya Pradesh,Bhind,Raon,,,,,,,,
52,Madhya Pradesh,Bhopal,Berasia,,,,,,,,
53,Madhya Pradesh,Bhopal,Phanda,,,,,,,,
54,Madhya Pradesh,Burhanpur,Burhanpur,,,,,,,,
55,Madhya Pradesh,Burhanpur,Khaknar,,,,,,,,
56,Madhya Pradesh,Chhatarpur,Bada Malehara,,,,,,,,
57,Madhya Pradesh,Chhatarpur,Barigarh,,,,,,,,
58,Madhya Pradesh,Chhatarpur,Bijawar,,,,,,,,
59,Madhya Pradesh,Chhatarpur,Buxwaha,,,,,,,,
60,Madhya Pradesh,Chhatarpur,Chhatarpur,,,,,,,,
61,Madhya Pradesh,Chhatarpur,Laundi,,,,,,,,
62,Madhya Pradesh,Chhatarpur,Nowgong,,,,,,,,
63,Madhya Pradesh,Chhatarpur,Rajnagar,,,,,,,,
64,Madhya Pradesh,Chhindwara,Amarwara,,,,,,,,
65,Madhya Pradesh,Chhindwara,Bichhua,,,,,,,,
66,Madhya Pradesh,Chhindwara,Chaurai,,,,,,,,
67,Madhya Pradesh,Chhindwara,Chhindwara,,,,,,,,
68,Madhya Pradesh,Chhindwara,Harrai,,,,,,,,
69,Madhya Pradesh,Chhindwara,Jamai,,,,,,,,
70,Madhya Pradesh,Chhindwara,Mohkhed,,,,,,,,
71,Madhya Pradesh,Chhindwara,Pandhurna,,,,,,,,
72,Madhya Pradesh,Chhindwara,Parasia,,,,,,,,
73,Madhya Pradesh,Chhindwara,Sausar,,,,,,,,
74,Madhya Pradesh,Chhindwara,Tamia,,,,,,,,
75,Madhya Pradesh,Damoh,Batiyagarh,,,,,,,,
76,Madhya Pradesh,Damoh,Damoh,,,,,,,,
77,Madhya Pradesh,Damoh,Hatta,,,,,,,,
78,Madhya Pradesh,Damoh,Jabera,,,,,,,,
79,Madhya Pradesh,Damoh,Patera,,,,,,,,
80,Madhya Pradesh,Damoh,Pathariya,,,,,,,,
81,Madhya Pradesh,Damoh,Tendukheda,,,,,,,,
82,Madhya Pradesh,Datia,Bhander,,,,,,,,
83,Madhya Pradesh,Datia,Datia,,,,,,,,
84,Madhya Pradesh,Datia,Seondha,,,,,,,,
